source_sheet,source_column,variable_id,label,category,frequency,unit,seasonal_adjustment,transformation,source_workflow_confirmation,recommended_transformation,rationale,risk_flags,model_owner_decision_status,public_display_allowed,public_display_guidance,missing_value_rule,model_role,transformation_status
Request Monthly,K,ppi,"Producer Price Index, Total, PP=100, Index",Prices,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use log-difference of the positive PP=100 producer-price index to measure monthly producer-price inflation.,A producer-price index is a price level. Log-differencing a positive price index yields a producer inflation signal.,index,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,L,m0,"Monetary Statistics, Monetary Aggregates, M0, Currency in Circulation (M0), Beginning of Period, UZS","Money, Banking & Credit",monthly,Currency Units,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,M,m2,"Monetary Statistics, Monetary Aggregates, M2, Broad Money (M2), Beginning of Period, UZS","Money, Banking & Credit",monthly,Currency Units,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,N,financial_sound,"Financial Soundness Indicators, Banking Sector, Nonperforming Loans to Total Gross Loans","Money, Banking & Credit",monthly,Percent,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use the NPL ratio in levels or first differences in percentage points; do not log-difference a percent ratio without model-owner sign-off.,"The nonperforming-loan share is a financial ratio, not a quantity level. A log change of the ratio is hard to explain economically and can overstate movements when the ratio is low.",ratio; rate,blocked_needs_owner_decision,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,blocked_needs_owner_decision
Request Monthly,O,rate_1y,"Uzbekistan, Deposits & Loans, All Institutions, Interest Rates on Deposits, By Currency, In Local Currency, Total, Over 1 Year, Weighted Average Rate",Interest & Exchange Rates,monthly,Percent,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use the interest-rate level or the month-to-month change in percentage points; do not log-difference the percent rate.,"Interest rates are already measured in percent per year. Monetary tightening is normally interpreted as a level or percentage-point change, not as the growth rate of the rate itself.",rate; unit_mismatch,blocked_needs_owner_decision,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,blocked_needs_owner_decision
Request Monthly,P,uzs_usd,"FX Spot Rates, Central Bank of The Republic of Uzbekistan, UZS per USD",Interest & Exchange Rates,weekly,Currency Unit/USD,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"First choose a monthly aggregation rule for the weekly FX series, then use log monthly depreciation/appreciation of UZS per USD.","The exchange-rate level can be transformed with log changes, but the workbook frequency is weekly while the DFM panel is monthly. The monthly aggregation convention changes the timing of FX news.",weekly_frequency; unit_mismatch,blocked_needs_owner_decision,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,blocked_needs_owner_decision
Request Monthly,Q,kazakh_leadind,"Kazakhstan, Leading Indicators, Bureau of National Statistics of the Agency for Strategic Planning & Reforms, Short-Term Economic Indicator, Change YTD PY=100, Index",Foreign Variables,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Treat as a YTD-over-previous-year index, likely log(index / 100) or index minus 100; confirm whether a YTD accumulation should enter a monthly DFM.","The source is a change YTD PY=100 index, so it is already a cumulative growth comparison. Log-differencing it mixes monthly revisions with changes in the YTD comparison window.",index; already_growth_series; seasonality; label_ambiguity,blocked_needs_owner_decision,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,blocked_needs_owner_decision
Request Monthly,R,IDA_yoy,Business activity index year on year,Business survey,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use the native YoY business-activity signal after owner confirmation of scaling; do not apply an additional log-difference.,"The label says year-on-year, so the series already represents a growth comparison. The unusually large index scale needs a documented scaling convention before production.",already_growth_series; index; unit_mismatch,approved_with_caveat,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved_with_caveat
Request Monthly,S,IDA_mom,Business activity index month on month,Business survey,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use the native MoM business-activity signal after owner confirmation of scaling; do not apply an additional log-difference.,"The label says month-on-month, so the series is already a short-run change indicator. Log-differencing it would turn the model input into a change in the change rate.",already_growth_series; index; unit_mismatch,approved_with_caveat,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved_with_caveat
Request Monthly,T,bank_trans,Number of banking transactions,Transactions,monthly,Number,By code,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,U,real_est,Number of real estate sales,Real estate,monthly,Number,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,V,cars,Number of car sales,Vehicle sales,monthly,Number,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,W,ind_percap_grwth,Growth rate of industrial production per capita,Production,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use the growth-rate index directly as log(index / 100) or index minus 100; do not log-difference it again.,"Industrial production per capita is already supplied as a growth-rate index near 100. The economically relevant signal is the growth rate itself, not its month-to-month acceleration.",already_growth_series; index,approved_with_caveat,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved_with_caveat
Request Monthly,X,construction (2021p),construction volume adjusted by PPI at 2021 prices,construction,monthly,Currency Units,By code,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,Y,const_grwth,construction growth rate,construction,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use the construction growth-rate index directly as log(index / 100) or index minus 100; do not log-difference it again.,The construction row is labelled as a growth rate and has values around a PY=100 index. Differencing the log would measure acceleration rather than construction growth.,already_growth_series; index,approved_with_caveat,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved_with_caveat
Request Monthly,Z,IND_2021p,Industry volume adjusted by PPI at 2021 prices,Production,monthly,Currency Units,By code,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,AA,IND_YOY,Industry year on year growth,Production,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use the industry YoY index directly as log(index / 100) or index minus 100; do not log-difference it again.,This row is explicitly year-on-year industry growth. A second log-difference would remove the level of YoY growth that the model owner likely wants as the activity signal.,already_growth_series; index,approved_with_caveat,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved_with_caveat
Request Monthly,AB,wholesale_trade_grwth,wholesale trade growth rate,Trade,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use the wholesale-trade growth-rate index directly as log(index / 100) or index minus 100; do not log-difference it again.,"The source is a trade growth indicator, so the model input should preserve that growth signal. Log-differencing would convert it to a change in the reported growth rate.",already_growth_series; index,approved_with_caveat,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved_with_caveat
Request Monthly,AC,retail_trade_grwth,reatail trade growth rate,Trade,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use the retail-trade growth-rate index directly as log(index / 100) or index minus 100; do not log-difference it again.,The row already reports retail trade growth. The DFM should standardize that growth signal rather than model the growth rate acceleration created by log-differencing.,already_growth_series; index; label_ambiguity,approved_with_caveat,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved_with_caveat
Request Monthly,AD,retail_trade_2021p,retail trade adjusted by CPI at 2021 proces,Trade,monthly,Currency Units,By code,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,AE,services_grwth,services growth rate,Services,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use the services growth-rate index directly as log(index / 100) or index minus 100; do not log-difference it again.,The source is a services growth indicator. Keeping the growth rate is easier to interpret and avoids turning the signal into a second difference.,already_growth_series; index,approved_with_caveat,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved_with_caveat
